,EBS_GA,Ensemble,LSA,MaTGA,MFEA,MTEA_AD,S-MFEA,S-MFEA-KL,SBS_GA,,,,,,,,,,,
172,360.9990504,90.85656017,175.1506317,105.2382578,533.7455456,29802.72767,114.4835646,114.7081588,365.6368052,,,,,,,,,,,
173,365.3148402,72.30265603,162.1426887,88.5313878,475.0112149,29589.21094,93.39397327,90.5024252,371.1626496,,,,,,,,,,,
174,354.9896706,71.68353268,178.4256248,96.00521666,503.9522197,29276.00106,104.5864642,109.0600062,342.6149867,,,,,,,,,,,
175,377.1690557,91.41018412,139.4708264,92.98710249,515.7806069,29572.39953,99.95118708,132.9106147,369.9842699,,,,,,,,,,,
176,370.6113661,71.61599878,204.4565437,83.93754983,562.5825852,29406.89146,147.6728519,147.5595348,319.9535305,,,,,,,,,,,
177,347.6271723,69.50857194,196.3822834,98.46362895,528.7959887,29541.11206,109.0761157,105.86093,372.0729472,,,,,,,,,,,
178,373.6502202,63.04354183,173.2868222,98.14101503,500.4234607,29222.76856,112.5816919,149.9764366,382.0514492,,,,,,,,,,,
179,352.3382865,71.17984437,156.2322586,98.07123839,499.0300708,29525.64701,87.66849959,122.5097309,372.1772604,,,,,,,,,,,
180,366.8862951,91.32376507,182.3064264,90.86584956,493.5190236,29360.86461,143.7454971,81.34847501,381.4714761,,,,,,,,,,,
181,373.1148903,75.5050338,199.0659048,89.49939945,515.3951887,29187.2918,82.88661876,81.54751643,357.6610801,,,,,,,,,,,
182,349.4453786,83.25278104,201.338168,88.29155925,500.0389994,29356.44,151.743988,58.44722615,360.4651149,,,,,,,,,,,
183,348.5180006,92.3483157,207.9604773,95.59549261,514.8965958,30036.24517,142.0103542,61.06043106,367.4246121,,,,,,,,,,,
184,340.4791394,91.52561433,174.3200064,94.89108253,473.9535036,29597.48033,113.5354571,68.45243799,371.6230282,,,,,,,,,,,
185,348.8129091,91.53449997,165.0402862,93.46564909,505.48159,29500.58852,135.1180258,89.82609339,370.7757881,,,,,,,,,,,
186,349.3464106,90.27718169,171.9298879,90.50289923,501.6228561,29748.44121,133.6128892,97.34730721,355.9026157,,,,,,,,,,,
187,369.2389287,84.11137308,144.1555387,96.00883365,497.984108,29575.64387,87.68204106,108.5533036,345.6370821,,,,,,,,,,,
188,341.7300408,69.5873063,155.8043708,93.44404155,486.8661341,29820.9163,103.8798256,80.27334452,365.0024843,,,,,,,,,,,
189,336.5781063,94.46997495,145.1154693,96.46829553,500.85394,29698.82545,134.381006,93.67935209,361.9838998,,,,,,,,,,,
190,332.8719343,88.1924851,229.4769344,94.66262531,514.6245861,29546.81631,84.85763681,113.1559889,360.5070087,,,,,,,,,,,
191,381.1756597,86.8321335,197.3219765,95.70216412,480.7698666,29980.1715,146.0294898,78.56410013,365.6340234,,,,,,,,,,,
192,378.0409738,70.52293496,174.5263528,94.93129572,537.1792862,30015.97429,120.9049588,89.70536482,345.5758854,,,,,,,,,,,
193,376.8689374,80.20760134,134.9830327,104.6694681,495.6936811,29154.6092,104.9880184,101.3900539,363.0587156,,,,,,,,,,,
194,331.0721371,96.84599192,115.3777995,104.4315446,498.844482,29403.34251,80.11179684,105.5103407,364.7078934,,,,,,,,,,,
195,380.3626095,77.41904707,176.0509539,93.10153879,493.6423918,30095.19659,126.9065747,94.72661146,368.7361672,,,,,,,,,,,
196,364.0084176,73.0497287,214.6275748,94.19899408,531.8019977,29641.4516,122.9243006,102.6682529,381.6013251,,,,,,,,,,,
197,373.7409878,74.97833038,217.2508709,97.79804368,489.4851506,29421.98419,113.780974,93.92143013,367.9983464,,,,,,,,,,,
198,355.0689882,76.56536816,166.6009635,102.8494468,497.1353352,29622.57724,118.7299944,95.56162251,377.8529107,,,,,,,,,,,
199,361.0812827,88.27234402,182.2378095,100.639123,520.9058479,29211.57863,110.1545244,65.77355376,367.1356979,,,,,,,,,,,
200,1.08E-05,0,16.12419934,0.004305884,21.06213016,116920.542,0,0,2.00E-05,,,,,,,,,,,
201,147.5273625,150.2877057,196.2168292,129.163366,32565.03539,4781782580,146.0463564,394.2742885,167.2310341,,,,,,,,,,,
202,0.003720896,0,0,0.040662681,5.154019835,21.36211623,0,0,0.002351152,,,,,,,,,,,
203,1.06E-05,0,7.279013201,0.003505425,20.74685583,122961.7076,0,0,2.01E-05,,,,,,,,,,,
204,334.5871025,637.2815139,210.5683021,598.7959291,30818.96114,4714233287,156.9065759,80.91483645,251.1578031,,,,,,,,,,,
205,0.004502219,0,0,0.020973849,4.816844605,21.3671831,0,0,0.00223664,,,,,,,,,,,
206,1.24E-05,0,62.99768773,0.004018528,20.27883303,118329.6129,0,0,2.06E-05,,,,,,,,,,,
207,699.7821659,367.927007,437.9823857,732.1484114,35793.33376,4628896974,162.3840114,273.7136871,398.4570932,,,,,,,,,,,
208,0.002939693,0,0,0.028048649,5.20972573,21.38203181,0,0,0.002102041,,,,,,,,,,,
209,1.32E-05,0,0.004141376,0.004252379,21.7556545,121716.0208,0,0,2.00E-05,,,,,,,,,,,
210,181.7477584,173.8748596,188.4692156,425.7515072,29583.87064,4754983710,91.62842033,82.81929041,252.278389,,,,,,,,,,,
211,0.003353704,0,0,0.027358642,5.175328553,21.36213057,0,0,0.002092608,,,,,,,,,,,
212,1.27E-05,0,6.463751215,0.004396837,19.82661831,120902.5018,0,0,1.78E-05,,,,,,,,,,,
213,965.2557955,310.1220073,676.1353456,784.6215774,24835.89193,4713601368,266.7410172,338.7840601,735.0655467,,,,,,,,,,,
214,0.004056298,0,0,0.030554816,5.189583614,21.3818429,0,0,0.001960152,,,,,,,,,,,
215,1.16E-05,0,0,0.003751129,21.45022757,120755.7772,0,0,1.93E-05,,,,,,,,,,,
216,430.1096678,706.2936887,540.7904295,260.9698654,26070.50257,4414437466,162.4977566,233.6747942,713.401803,,,,,,,,,,,
217,0.004089529,0,0,0.021938908,5.109351499,21.35278278,0,0,0.001944999,,,,,,,,,,,
218,1.32E-05,0,1.419093071,0.004576316,20.70270153,120615.7403,0,0,1.72E-05,,,,,,,,,,,
219,132.7905985,221.0254767,391.3789009,391.9757665,15480.33808,4709134839,324.5126609,97.00809125,358.4848496,,,,,,,,,,,
220,0.004011283,0,0,0.027857252,5.011572146,21.36425598,0,0,0.001981534,,,,,,,,,,,
